NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Afghanistan ;Kabul ;647500;24326959;37,6;Asia;20;80;;;;;0;0;600;4797;;57;13;29;0;26;47;46;Primary;Rural
Albania ;Tirane;28750;3453505;120,1;Europe;37;63;;;;;4100;6;1210;574;0;50;;18;;19,9;69,9;75,5;Primary;Rural
Algeria ;Algiers ;2381740;29181456;12,3;Africa;56;44;1395000;9200;59300000;3700000;108700;3,5;3800;1119;50;13;24;36;0,03;28,3;65,8;66,6;Tertiary ;Urban
Andorra ;Andorra la Vella;450;67569;150,2;Europe;;;;;;;1000;0;16200;;;;;;;;;;;
Angola;Luanda;1246700;10339364;8,3;Africa;32;68;;;;;7400;4;700;13489;72;71;;18;0;27;42,9;46,1;Primary;Rural
Antigua & Barbuda ;Saint John's;440;65619;149,1;America ;36;64;;;;;0;4,2;6600;;;;18;72;;9,5;70;73;Tertiary ;Rural
Argentina ;Buenos Aires;2766890;34673391;12,5;America ;88;12;805000;;;;0;-4,4;8100;340;;;30;50;0,1;11;67;74;Tertiary ;Urban
Armenia ;Yerevan ;29800;3590722;120,5;Asia;69;31;;;;;0;5,2;2560;;;;;;;15;;;;Urban
Australia ;Canberra;7686850;18562252;2,4;Oceania ;85;15;615000;;;;405400;3,3;22100;438;;5;15;72;0,47;8,4;73,3;79,6;Tertiary ;Urban
Austria ;Vienna;83850;8014617;95,6;Europe;56;44;;;;;152000;2,4;19000;345;0;7;35;55;0,53;0,9;72,1;78,8;Tertiary ;Urban
Azerbaijan;Baku;86600;7892712;91,1;Asia;56;44;;;;;0;-17;1480;;;;;;;26,4;;;;Urban
"Bahamas; The";Nassau;13940;259413;18,6;America ;87;13;;;;;0;2;18700;809;5;1;11;62;0,48;14,3;67;74;Tertiary ;Urban
Bahrain ;Manama;620;590784;952,9;Asia;90;10;;;;;0;-2;12000;713;;;32;65;0,23;23,3;65;68,4;Tertiary ;Urban
Bangladesh;Dhaka ;144000;131066751;910,2;Asia;18;82;;;;;0;4,6;1130;6166;;57;;30;0;21,6;56;56;Primary;Rural
Barbados;Bridgetown;430;257010;597,7;America ;47;53;;;;;0;2;9800;1042;2;5;;;0,41;8,2;71,9;76,9;Primary;Rural
Belarus ;Minsk ;207600;10468730;50,4;Europe;71;29;;;;;49200;-10;4700;;;;;;;;;;;Urban
Belgium ;Brussels;30510;10099019;331;Europe;97;3;;;;;197000;2,3;19500;317;0;2;23;62;0,5;1,4;70;77;Tertiary ;Urban
Belize;Belmopan;22960;219241;9,5;America ;47;53;;;;;0;2;2750;2046;7;27;13;45;0,07;30;;;Tertiary ;Rural
Benin ;Porto-Novo;112620;5706582;50,7;Africa;31;69;;;;;7600;6;1380;16025;;67;7;24;;29,9;;;Primary;Rural
Bhutan;Thimphu ;47000;1822305;38,8;Asia;6;94;;;;;0;6;730;;;87;0;3;;21,9;49,2;47,8;Primary;Rural
Bolivia ;Sucre / La Paz;1098580;8073920;7,3;America ;61;39;;;;;0;3,7;2530;2214;;42;17;38;0,02;29;;;Primary;Urban
Bosnia - Herzegovina;Sarajevo;51233;3222635;62,9;Europe;49;51;;;;;1000;0;300;;;;;;;;;;;Rural
Botswana;Gaborone;600370;1425275;2,4;Africa;28;72;;;;;4500;1;3200;7185;;4;;66;0,02;35,6;52,7;59,3;Tertiary ;Rural
Brazil;Brasilia;8511965;162698486;19,1;America ;78;22;800000;;;;0;4,2;6100;685;;24;21;5;0,08;20,7;62,3;67,6;Primary;Urban
Brunei;Bandar Seri Begawan ;5770;299953;52;Asia;58;42;;;;;0;2;15800;1469;;3;17;69;0,16;24,3;72,6;76,4;Tertiary ;Urban
Bulgaria;Sofia ;110910;8753260;78,9;Europe;71;29;;;;;43200;2,4;4920;;;;48;33;;11,7;68,2;74,4;Secondary;Urban
Burkina ;Ouagadougou ;274200;10713625;39,1;Africa;27;73;;;;;7400;4;700;1359;;92;2;4;0;28,7;45,6;48,9;Primary;Rural
Burma ;Rangoon ;678500;45933719;67,7;Asia;;;;;;;0;6,8;1000;;;;;;;;;;;
Burundi ;Bujumbura ;27830;6398950;229,9;Africa;8;92;;;;;4000;2,7;600;572;50;93;2;4;0;32;50;54;Primary;Rural
Cambodia;Phnom Penh;181040;10860260;60;Asia;21;79;;;;;0;6,7;660;27000;52;70;;14;0;24,9;46,5;49,4;Primary;Rural
Cameroon;Yaoundé ;475440;13915813;29,3;Africa;45;55;;;;;16500;1,8;1200;12540;;;6;;0;32,6;51;54;;Rural
